"['001795', '대한제당우', '605', '+13750', '0.00', '0', '', '0.00', '', '0']"
"['001799', '대한제당3우B', '1758', '+25550', '0.00', '0', '', '0.00', '', '0']"
"['001800', '오리온홀딩스', '52447', '-20050', '0.51', '39092', '85.9', '0.68', '16.81', '29498']"
"['001820', '삼화콘덴서', '336751', '-83200', '55.03', '1512', '25.7', '12.69', '31.69', '6555']"
"['001880', '삼호', '270', '14200', '3.34', '4256', '22.2', '0.67', '-0.07', '21250']"
"['001940', 'KISCO홀딩스', '8267', '-12000', '14.23', '843', '1.7', '0.29', '-3.54', '41227']"
"['002000', '한국유리', '1616', '-53900', '4.13', '13042', '21.7', '0.81', '6.28', '66487']"
"['002005', '한국유리우', '3463', '41650', '0.00', '0', '', '0.00', '', '0']"
"['002020', '코오롱', '20920', '-36950', '5.00', '7396', '14.2', '0.63', '12.07', '58235']"
"['002025', '코오롱우', '137', '-20700', '0.00', '0', '', '0.00', '', '0']"
"['002030', '아세아', '2585', '-125000', '5.43', '23008', '6.6', '0.40', '2.01', '310339']"
"['002070', '남영비비안', '3589', '-6930', '41.75', '166', '0.8', '0.37', '20.87', '18980']"
"['002100', '경농', '337427', '-12050', '21.21', '568', '5.8', '1.48', '23.88', '8157']"
"['002140', '고려산업', '68456', '-2845', '13.68', '208', '5.9', '0.80', '11.65', '3559']"
"['002150', '도화엔지니어링', '153524', '-7640', '21.70', '352', '5.1', '1.09', '11.35', '6992']"
"['002170', '삼양통상', '1721', '-40550', '4.88', '8310', '9.6', '0.45', '0.87', '90524']"
"['002200', '수출포장', '1630', '+23000', '0.00', '0', '-2.4', '0.42', '24.73', '54230']"
"['002210', '동성제약', '13565472', '+34250', '0.00', '0', '-0.3', '13.19', '311.12', '2596']"
"['002220', '한일철강', '942', '+23450', '4.39', '5343', '6.2', '0.30', '12.71', '79035']"
"['002240', '고려제강', '8849', '-26450', '22.32', '1185', '1.7', '0.39', '6.02', '68324']"
"['002250', '알보젠코리아', '433', '-27100', '29.81', '909', '5.6', '1.84', '10.66', '14758']"
"['002270', '롯데푸드', '3786', '+842000', '11.25', '74827', '11.8', '1.43', '9.96', '587907']"
"['002300', '한국제지', '3203', '-21250', '10.42', '2040', '2.0', '0.21', '6.84', '99906']"
"['002310', '아세아제지', '29222', '+36200', '64.41', '562', '1.1', '0.70', '11.80', '51433']"
"['002320', '한진', '123749', '28250', '0.00', '0', '-6.1', '0.47', '13.00', '59896']"
"['002350', '넥센타이어', '120960', '10000', '8.16', '1226', '9.9', '0.78', '4.71', '12821']"
"['002355', '넥센타이어1우B', '2', '+4350', '0.00', '0', '', '0.00', '', '0']"
"['002360', 'SH에너지화학', '920623', '+1320', '15.35', '86', '9.2', '1.39', '6.94', '950']"
"['002380', 'KCC', '10055', '+335000', '78.84', '4249', '0.7', '0.60', '8.97', '554654']"
"['002390', '한독', '69649', '+26150', '66.88', '391', '1.7', '1.16', '32.56', '22573']"
"['002410', '범양건영', '289453', '+2155', '46.85', '46', '2.6', '1.18', '21.43', '1819']"
"['002420', '세기상사', '835', '-81700', '350.64', '233', '0.4', '1.41', '162.29', '58095']"
"['002450', '삼익악기', '323132', '-1905', '0.00', '0', '-2.4', '0.80', '26.40', '2369']"
"['002460', '화성산업', '15315', '-14150', '3.84', '3687', '13.5', '0.51', '2.09', '28003']"
"['002600', '조흥', '6', '-206000', '10.94', '18830', '9.7', '1.03', '6.57', '200652']"
"['002620', '제일파마홀딩스', '2475', '+24900', '0.18', '138848', '249.6', '0.65', '23.77', '38370']"
"['002630', '오리엔트바이오', '1160247', '+982', '0.00', '0', '-23.9', '2.25', '256.39', '436']"
"['002690', '동일제강', '108625', '-4005', '44.01', '91', '1.1', '0.46', '9.42', '8754']"
"['002700', '신일산업', '570225', '+1365', '10.19', '134', '17.8', '1.71', '8.03', '797']"
"['002710', 'TCC동양', '9018', '+2095', '29.10', '72', '1.5', '0.47', '11.86', '4502']"
"['002720', '국제약품', '354380', '+5320', '83.13', '64', '1.6', '1.42', '24.40', '3753']"
"['002760', '보락', '832444', '+3085', '146.90', '21', '2.9', '4.27', '65.43', '722']"
"['002780', '진흥기업', '6188', '-1865', '11.23', '166', '66.3', '3.60', '5.83', '518']"
"['002785', '진흥기업우B', '3410', '+3600', '0.00', '0', '', '0.00', '', '0']"
"['002787', '진흥기업2우B', '246', '-8650', '0.00', '0', '', '0.00', '', '0']"
"['002790', '아모레G', '60183', '-99600', '40.95', '2432', '7.0', '2.95', '7.03', '33714']"
"['002795', '아모레G우', '72', '51000', '0.00', '0', '', '0.00', '', '0']"
"['002810', '삼영무역', '7448', '-15650', '8.98', '1742', '9.6', '0.83', '13.80', '18764']"
"['002820', '선창산업', '14696', '6690', '0.00', '0', '-1.3', '0.32', '11.54', '21135']"
"['002840', '미원상사', '202', '250000', '7.69', '32510', '14.9', '1.09', '6.85', '228360']"
"['002870', '신풍제지', '457389', '-1495', '45.30', '33', '2.2', '1.18', '8.25', '1267']"
"['002880', '대유에이텍', '152427', '-1035', '54.47', '19', '2.2', '0.90', '7.50', '1152']"
"['002900', '동양물산', '273773', '2155', '93.70', '23', '1.1', '1.06', '11.37', '2029']"
"['002920', '유성기업', '3225', '+3110', '12.80', '243', '2.4', '0.30', '-1.48', '10215']"
"['002960', '한국쉘석유', '223', '+344000', '18.45', '18649', '24.6', '4.50', '12.60', '76494']"
"['002990', '금호산업', '43285', '11250', '4.22', '2665', '27.1', '1.04', '15.17', '10865']"
"['002995', '금호산업우', '2058', '24900', '0.00', '0', '', '0.00', '', '0']"
"['003000', '부광약품', '200534', '+23900', '97.95', '244', '5.2', '5.52', '83.03', '4329']"
"['003010', '혜인', '1027530', '-6860', '38.54', '178', '2.0', '0.87', '23.38', '7905']"
"['003030', '세아제강', '78511', '-70400', '16.06', '4384', '2.0', '0.34', '5.57', '206172']"
"['003060', '에이프로젠제약', '881355', '+4030', '0.00', '0', '-20.7', '4.38', '2078.07', '920']"
"['003070', '코오롱글로벌', '22679', '+8070', '13.43', '601', '3.4', '0.44', '7.92', '18236']"
"['003075', '코오롱글로벌우', '1648', '-14550', '0.00', '0', '', '0.00', '', '0']"
"['003080', '성보화학', '2338', '6300', '13.38', '471', '5.8', '0.78', '', '8063']"
"['003090', '대웅', '217857', '+17750', '11.57', '1534', '12.9', '1.89', '8.54', '9367']"
"['003120', '일성신약', '80', '-101500', '51.89', '1956', '0.8', '0.84', '39.40', '121363']"
"['003160', '디아이', '287977', '+5100', '7.98', '639', '15.2', '1.24', '8.59', '4104']"
"['003200', '일신방직', '1667', '+117000', '17.06', '6858', '2.3', '0.41', '5.07', '286250']"
"['003220', '대원제약', '61095', '-18950', '33.07', '573', '6.5', '2.15', '10.67', '8809']"
"['003230', '삼양식품', '23526', '-84500', '22.19', '3808', '15.3', '3.18', '12.88', '26560']"
"['003240', '태광산업', '432', '+1524000', '9.24', '164917', '5.3', '0.63', '1.93', '2430678']"
"['003280', '흥아해운', '381414', '-560', '0.00', '0', '-47.5', '0.66', '23.63', '854']"
"['003300', '한일홀딩스', '7453', '+82000', '9.46', '8669', '3.8', '0.38', '3.22', '213895']"
"['003350', '한국화장품제조', '211540', '+43250', '35.39', '1222', '9.7', '4.13', '45.47', '10481']"
"['003410', '쌍용양회', '2597648', '+6040', '9.68', '624', '16.6', '1.56', '10.13', '3879']"
"['003415', '쌍용양회우', '35795', '+5820', '0.00', '0', '', '0.00', '', '0']"
"['003460', '유화증권', '575', '-14200', '22.87', '621', '1.7', '0.46', '', '30967']"
"['003465', '유화증권우', '3163', '+14000', '0.00', '0', '', '0.00', '', '0']"
"['003470', '유안타증권', '286871', '3415', '9.93', '344', '6.6', '0.66', '', '5174']"
"['003475', '유안타증권우', '12757', '+2365', '0.00', '0', '', '0.00', '', '0']"
"['003480', '한진중공업홀딩스', '21620', '-3580', '0.00', '0', '-33.6', '0.32', '11.55', '11219']"
"['003490', '대한항공', '158191', '+28100', '3.25', '8639', '29.4', '0.74', '6.14', '37824']"
"['003495', '대한항공우', '1954', '+13250', '0.00', '0', '', '0.00', '', '0']"
"['003520', '영진약품', '2120955', '+8040', '804.00', '10', '1.7', '12.29', '153.30', '654']"
"['003530', '한화투자증권', '158466', '+2535', '8.31', '305', '6.4', '0.51', '', '4925']"
"['003535', '한화투자증권우', '10732', '+2395', '0.00', '0', '', '0.00', '', '0']"
"['003540', '대신증권', '67905', '+12250', '7.59', '1615', '6.4', '0.57', '', '21524']"
"['003545', '대신증권우', '50899', '-9160', '0.00', '0', '', '0.00', '', '0']"
"['003547', '대신증권2우B', '3345', '+8570', '0.00', '0', '', '0.00', '', '0']"
"['003550', 'LG', '132507', '-70400', '5.17', '13630', '16.0', '0.77', '4.83', '90990']"
"['003555', 'LG우', '294', '-41500', '0.00', '0', '', '0.00', '', '0']"
"['003560', 'IHQ', '2037059', '+2155', '119.72', '18', '1.1', '1.38', '3.89', '1558']"
"['003570', 'S&T중공업', '9474', '+6600', '0.00', '0', '-4.9', '0.35', '', '18616']"
"['003580', '동원', '705728', '10100', '0.00', '0', '-0.7', '3.12', '17090.04', '3237']"
"['003610', '방림', '2906', '+23150', '13.01', '1779', '3.8', '0.53', '5.20', '43681']"
"['003620', '쌍용차', '74937', '-4700', '0.00', '0', '-8.3', '0.84', '5.87', '5619']"
"['003650', '미창석유', '547', '+80400', '11.00', '7310', '5.1', '0.56', '1.82', '142513']"
"['003680', '한성기업', '13780', '+7430', '14.57', '510', '4.8', '0.73', '13.15', '10248']"
"['003690', '코리안리', '160540', '+10600', '9.93', '1068', '6.2', '0.59', '', '17970']"
"['003720', '삼영화학', '202472', '900', '0.00', '0', '-31.2', '0.58', '', '1562']"
"['003780', '진양산업', '6797', '+3130', '24.45', '128', '4.8', '1.19', '13.73', '2632']"
"['003830', '대한화섬', '730', '125000', '6.88', '18171', '4.7', '0.35', '16.66', '353044']"
"['003850', '보령제약', '144896', '+10250', '7.68', '1334', '25.5', '1.81', '29.10', '5662']"
"['003920', '남양유업', '685', '+637000', '107.57', '5922', '0.6', '0.63', '3.99', '1009374']"
"['003925', '남양유업우', '10', '-205500', '0.00', '0', '', '0.00', '', '0']"
"['003960', '사조대림', '32378', '-22400', '4.65', '4813', '14.5', '0.63', '4.38', '35596']"
"['004000', '롯데정밀화학', '34461', '+60900', '17.39', '3503', '7.7', '1.32', '8.00', '46229']"
"['004020', '현대제철', '143107', '-52700', '9.66', '5455', '4.4', '0.42', '6.14', '125261']"
"['004060', 'SG세계물산', '407773', '+824', '0.00', '0', '-3.3', '0.86', '', '953']"
"['004080', '신흥', '403', '-10400', '31.33', '332', '3.7', '1.16', '16.99', '8997']"
"['004090', '한국석유', '9176', '-176000', '11.67', '15083', '6.8', '0.79', '10.08', '224172']"
"['004100', '태양금속', '523438', '-1525', '0.00', '0', '-3.9', '0.59', '8.14', '2580']"
"['004105', '태양금속우', '37631', '-3545', '0.00', '0', '', '0.00', '', '0']"
"['004130', '대덕GDS', '88269', '+12800', '8.33', '1536', '7.2', '0.61', '2.61', '21063']"
"['004135', '대덕GDS우', '6669', '-7950', '0.00', '0', '', '0.00', '', '0']"
"['004140', '동방', '429153', '-1865', '0.00', '0', '-9.3', '0.63', '8.36', '2945']"
"['004150', '한솔홀딩스', '218707', '+5250', '0.00', '0', '-11.1', '0.52', '13.18', '10073']"
"['004170', '신세계', '81610', '+315000', '17.00', '18530', '5.5', '0.91', '8.76', '347557']"
"['004200', '고려개발', '6099', '+4920', '22.36', '220', '11.5', '1.70', '6.56', '2886']"
"['004250', 'NPC', '2305', '-4655', '16.63', '280', '4.7', '0.78', '3.88', '5966']"
"['004255', 'NPC우', '800', '-2365', '0.00', '0', '', '0.00', '', '0']"
"['004270', '남성', '55993', '-1730', '31.45', '55', '1.7', '0.72', '12.74', '2419']"
"['004310', '현대약품', '1428700', '+5580', '90.00', '62', '1.5', '1.59', '44.04', '3504']"
"['004360', '세방', '9351', '+13050', '9.51', '1372', '4.1', '0.39', '7.86', '33681']"
"['004365', '세방우', '161', '-6730', '0.00', '0', '', '0.00', '', '0']"
"['004370', '농심', '14428', '-254500', '16.23', '15678', '5.0', '0.85', '5.93', '300600']"
"['004380', '삼익THK', '37433', '12800', '9.38', '1364', '16.6', '1.48', '6.71', '8633']"
"['004410', '서울식품', '18265382', '+223', '223.00', '1', '0.7', '2.82', '28.21', '79']"
"['004415', '서울식품우', '437102', '-4250', '0.00', '0', '', '0.00', '', '0']"
"['004430', '송원산업', '128964', '+26400', '17.90', '1475', '9.6', '1.66', '9.97', '15869']"
"['004440', '대림씨엔에스', '16085', '-11800', '34.10', '346', '1.5', '0.53', '4.64', '22424']"
"['004450', '삼화왕관', '86', '+46850', '10.37', '4516', '6.4', '0.75', '5.05', '62303']"
"['004490', '세방전지', '35347', '+35650', '7.36', '4843', '7.8', '0.56', '2.83', '63549']"
"['004540', '깨끗한나라', '185796', '+4005', '0.00', '0', '-11.4', '0.81', '194.71', '4949']"
"['004545', '깨끗한나라우', '7781', '20850', '0.00', '0', '', '0.00', '', '0']"
"['004560', '현대비앤지스틸', '21882', '-12150', '9.34', '1301', '5.6', '0.51', '4.44', '24033']"
"['004565', '현대비앤지스틸우', '1206', '+69200', '0.00', '0', '', '0.00', '', '0']"
"['004690', '삼천리', '2214', '+107500', '28.98', '3709', '1.1', '0.35', '5.52', '305706']"
"['004700', '조광피혁', '1059', '-33850', '5.64', '6005', '10.2', '1.00', '7.46', '33938']"
"['004710', '한솔테크닉스', '63978', '-9560', '10.95', '873', '9.0', '0.99', '6.28', '9638']"
"['004720', '우리들제약', '195281', '+8520', '21.57', '395', '9.9', '1.89', '10.75', '4516']"
"['004770', '써니전자', '244016', '+2375', '67.86', '35', '2.8', '1.86', '33.10', '1278']"
"['004800', '효성', '75108', '+41250', '3.56', '11575', '9.0', '0.34', '5.04', '123059']"
"['004830', '덕성', '230146', '+3490', '105.76', '33', '0.8', '0.91', '12.13', '3827']"
"['004835', '덕성우', '139316', '+3850', '0.00', '0', '', '0.00', '', '0']"
"['004840', 'DRB동일', '14991', '+7360', '7.70', '956', '5.4', '0.42', '3.46', '17367']"
"['004870', '티웨이홀딩스', '247928', '-3640', '8.41', '433', '45.5', '3.09', '2.28', '1177']"
"['004890', '동일산업', '3583', '+66800', '6.36', '10500', '7.0', '0.47', '-0.39', '142147']"
"['004910', '조광페인트', '24212', '+7880', '19.22', '410', '2.4', '0.55', '17.79', '14205']"
"['004920', '씨아이테크', '113586', '-720', '0.00', '0', '-39.1', '1.45', '', '498']"
"['004960', '한신공영', '40113', '-18300', '2.67', '6860', '23.6', '0.58', '2.04', '31749']"
"['004970', '신라교역', '6201', '-13950', '8.42', '1657', '5.7', '0.47', '0.77', '29975']"
"['004980', '성신양회', '491129', '11650', '23.78', '490', '3.5', '0.79', '6.91', '14800']"
"['004985', '성신양회우', '20487', '-14050', '0.00', '0', '', '0.00', '', '0']"
"['004987', '성신양회2우B', '10079', '-19100', '0.00', '0', '', '0.00', '', '0']"
"['004989', '성신양회3우B', '611', '-10150', '0.00', '0', '', '0.00', '', '0']"
"['004990', '롯데지주', '77752', '-48350', '6.34', '7625', '11.0', '0.59', '150.32', '81890']"
"['00499K', '롯데지주우', '801', '-51500', '0.00', '0', '', '0.00', '', '0']"
"['005010', '휴스틸', '29256', '-13800', '25.89', '533', '1.0', '0.25', '7.64', '54480']"
"['005030', '부산주공', '3367027', '+713', '0.00', '0', '-17.6', '0.32', '24.69', '2247']"
"['005070', '코스모신소재', '217259', '+25050', '47.62', '526', '13.1', '6.27', '34.71', '3996']"
"['005090', '삼광글라스', '8372', '+36300', '48.79', '744', '1.2', '0.59', '42.71', '61724']"
"['005110', '한창', '322617', '-1860', '43.26', '43', '3.6', '1.65', '10.10', '1127']"
"['005180', '빙그레', '27957', '+68900', '20.57', '3349', '5.6', '1.28', '7.56', '53683']"
"['005190', '동성화학', '14294', '13100', '13.25', '989', '5.1', '0.69', '4.07', '19067']"
"['005250', '녹십자홀딩스', '42339', '+30050', '31.47', '955', '5.5', '1.83', '11.96', '16406']"
"['005257', '녹십자홀딩스2우', '684', '-20200', '0.00', '0', '', '0.00', '', '0']"
"['005300', '롯데칠성', '1067', '-1359000', '12.52', '108521', '7.4', '0.91', '9.98', '1497124']"
"['005305', '롯데칠성우', '35', '-683000', '0.00', '0', '', '0.00', '', '0']"
"['005320', '국동', '39502', '+3315', '0.00', '0', '-19.0', '1.01', '', '3271']"
"['005360', '모나미', '21220', '-3000', '20.55', '146', '3.7', '0.77', '8.57', '3876']"
"['005380', '현대차', '165913', '-123500', '8.24', '14993', '5.9', '0.51', '8.51', '242062']"
