"['033290', '코웰패션', '148661', '+5760', '11.98', '481', '29.7', '3.13', '8.34', '1840']"
"['033310', '디케이디앤아이', '18532', '+2020', '10.86', '186', '8.3', '0.91', '18.75', '2208']"
"['033320', '제이씨현시스템', '225054', '-7680', '11.38', '675', '17.7', '1.89', '8.31', '4070']"
"['033340', '좋은사람들', '6133062', '+5580', '0.00', '0', '-13.0', '2.07', '', '2693']"
"['033430', '디에스티', '312652', '+1250', '34.72', '36', '11.1', '3.58', '13.80', '349']"
"['033500', '동성화인텍', '288649', '+7190', '0.00', '0', '-30.1', '2.25', '', '3199']"
"['033540', '파라텍', '101768', '-5850', '7.85', '745', '15.3', '1.15', '8.73', '5076']"
"['033560', '블루콤', '6875', '+5000', '29.59', '169', '1.9', '0.55', '0.09', '9134']"
"['033600', '에이코넬', '434097', '-6050', '0.00', '0', '-53.7', '4.14', '', '1460']"
"['033640', '네패스', '366334', '-12400', '40.00', '310', '5.1', '2.09', '6.07', '5943']"
"['033790', '스카이문스테크놀로지', '21322', '-3385', '0.00', '0', '-15.2', '1.47', '', '2302']"
"['033830', '티비씨', '5572', '-668', '20.88', '32', '3.0', '0.64', '-0.39', '1043']"
"['034230', '파라다이스', '869770', '-20500', '0.00', '0', '-1.9', '1.88', '80.73', '10932']"
"['034810', '해성산업', '8116', '+13550', '38.94', '348', '2.4', '0.93', '51.60', '14632']"
"['034940', '조아제약', '391495', '+5330', '93.51', '57', '3.2', '2.78', '62.26', '1914']"
"['034950', '한국기업평가', '425', '-52600', '15.19', '3462', '17.7', '2.72', '5.68', '19356']"
"['035080', '인터파크홀딩스', '143632', '-2495', '0.00', '0', '-20.4', '0.46', '-2.21', '5403']"
"['035200', '프럼파스트', '41394', '+4895', '9.79', '500', '13.9', '1.25', '6.05', '3909']"
"['035290', '더블유에프엠', '52862', '+4290', '0.00', '0', '-59.5', '7.13', '', '602']"
"['035460', '기산텔레콤', '58221', '-3050', '0.00', '0', '-13.8', '1.37', '', '2225']"
"['035480', '마제스타', '0', '1475', '0.00', '0', '-42.7', '1.78', '', '829']"
"['035600', 'KG이니시스', '160397', '18500', '0.00', '0', '-0.2', '2.76', '6.91', '6705']"
"['035610', '솔본', '28530', '+5500', '0.00', '0', '-4.4', '1.18', '15.31', '4663']"
"['035620', '바른손이앤에이', '100152', '+1645', '0.00', '0', '-82.9', '5.63', '', '292']"
