002300,한국제지,3924,21300,10.44,2040,2.0,0.21,6.85,99906,6779,97,80,1066
002310,아세아제지,39343,+36050,64.15,562,1.1,0.70,11.77,51433,7286,54,50,3229
002320,한진,152557,+28550,0.00,0,-6.1,0.48,13.04,59896,18126,216,-470,3419
002350,넥센타이어,159115,-9990,8.15,1226,9.9,0.78,4.71,12821,19648,1854,1254,9757
002355,넥센타이어1우B,63,+4350,0.00,0,,0.00,,0,,,,283
002360,SH에너지화학,1099962,+1315,15.29,86,9.2,1.38,6.91,950,1881,142,99,1461
002380,KCC,12543,-333500,78.49,4249,0.7,0.60,8.94,554654,38640,3298,423,35206
002390,한독,104407,+26350,67.39,391,1.7,1.17,32.74,22573,4180,-19,35,3627
002410,범양건영,322987,+2160,46.96,46,2.6,1.19,21.47,1819,1368,26,11,536
002420,세기상사,898,+83700,359.23,233,0.4,1.44,165.31,58095,56,-4,1,341
002450,삼익악기,355915,1910,0.00,0,-2.4,0.81,26.43,2369,2624,57,-55,1729
002460,화성산업,18568,-14150,3.84,3687,13.5,0.51,2.09,28003,5680,590,446,1762
002600,조흥,6,-206000,10.94,18830,9.7,1.03,6.57,200652,1621,141,113,1236
002620,제일파마홀딩스,2864,+24850,0.18,138848,249.6,0.65,23.71,38370,444,3,5193,1080
002630,오리엔트바이오,4810844,+956,0.00,0,-23.9,2.19,250.58,436,1212,-66,-162,1568
002690,동일제강,125989,-4025,44.23,91,1.1,0.46,9.48,8754,1076,11,14,604
002700,신일산업,721506,+1360,10.15,134,17.8,1.71,8.00,797,1446,106,94,966
002710,TCC동양,12449,-2080,28.89,72,1.5,0.46,11.83,4502,3914,81,15,465
002720,국제약품,411932,+5350,83.59,64,1.6,1.43,24.51,3753,1233,26,10,966
002760,보락,992271,3075,146.43,21,2.9,4.26,65.22,722,335,13,12,1842
002780,진흥기업,8214,+1880,11.33,166,66.3,3.63,5.89,518,5733,416,218,2733
002785,진흥기업우B,3410,+3600,0.00,0,,0.00,,0,,,,31
