176,003030,세아제강,95513,-71000,16.2,4384,2.0,0.34,5.59,206172,22899.0,1191.0,291.0,4260
391,008870,금비,686,-69000,15.88,4344,3.8,0.74,3.78,93582,1855.0,117.0,66.0,690
121,001880,삼호,429,14200,3.34,4256,22.2,0.67,-0.07,21250,8586.0,838.0,646.0,2156
145,002380,KCC,12543,-333500,78.49,4249,0.7,0.6,8.94,554654,38640.0,3298.0,423.0,35206
482,012750,에스원,32517,86200,20.33,4239,12.4,2.71,8.27,31786,19423.0,2026.0,1433.0,32755
33,000480,조선내화,312,83400,19.75,4223,2.5,0.6,14.19,139324,6943.0,-32.0,227.0,3336
697,071090,하이스틸,25063,37100,8.86,4187,6.4,0.55,7.76,68057,2117.0,110.0,84.0,742
418,009770,삼정펄프,290,36600,8.77,4172,5.8,0.5,0.0,73362,1434.0,77.0,104.0,915
716,079440,아이엔지생명,86928,-35850,8.64,4149,8.7,0.8,,44738,31575.0,4503.0,3402.0,29397
27,000320,노루홀딩스,10739,14350,3.49,4114,11.7,0.51,5.14,28287,7713.0,173.0,620.0,1907
676,060980,한라홀딩스,13905,-42000,10.42,4032,4.6,0.49,12.58,86433,9222.0,627.0,435.0,4537
52,000850,화천기공,2821,-48800,12.32,3961,3.2,0.39,3.33,126071,2084.0,110.0,87.0,1074
1087,251270,넷마블,153401,123500,31.6,3908,11.2,2.43,13.88,50919,24248.0,5098.0,3609.0,105240
679,064960,S&T모티브,25823,32450,8.35,3888,8.1,0.66,1.96,49272,11375.0,967.0,591.0,4745
594,028260,삼성물산,179234,123500,31.84,3879,3.1,1.05,19.19,117902,292790.0,8813.0,4811.0,234267
186,003230,삼양식품,27402,-84700,22.24,3808,15.3,3.19,12.91,26560,4585.0,433.0,291.0,6380
535,017800,현대엘리베이,426329,104000,27.36,3801,11.6,3.06,18.09,33952,19937.0,1353.0,790.0,28245
79,001270,부국증권,14309,22950,6.04,3797,8.0,0.64,,35752,1319.0,473.0,376.0,2380
1141,267290,경동도시가스,5311,44050,11.68,3771,,0.71,2.94,62295,8715.0,217.0,178.0,2078
951,180640,한진칼,444112,18550,4.99,3717,17.6,0.73,6.95,25481,11497.0,1153.0,2291.0,10976
254,004690,삼천리,2887,107500,28.98,3709,1.1,0.35,5.52,305706,32951.0,611.0,51.0,4359
150,002460,화성산업,18568,-14150,3.84,3687,13.5,0.51,2.09,28003,5680.0,590.0,446.0,1762
902,145720,덴티움,8074,-93500,25.37,3686,26.1,6.39,23.43,14622,1506.0,411.0,303.0,10349
337,006390,한일현대시멘트,140067,74300,20.25,3670,34.9,5.95,31.0,12492,3487.0,249.0,615.0,12452
361,007540,샘표,21603,-31400,8.65,3632,6.4,0.64,2.64,49201,2748.0,180.0,128.0,903
427,010120,LS산전,87258,71200,19.87,3583,9.5,1.86,9.64,38191,23437.0,1584.0,1060.0,21360
809,107590,미원홀딩스,384,42500,11.91,3569,7.5,0.81,6.57,52436,1176.0,92.0,127.0,991
53,000860,강남제비스코,2888,-26900,7.54,3568,4.9,0.36,2.23,74589,3424.0,123.0,220.0,1749
87,001430,세아베스틸,48813,-20050,5.63,3560,7.1,0.39,4.67,51205,30553.0,1885.0,1372.0,7190
904,145990,삼양사,11232,72500,20.46,3543,3.3,0.71,7.19,101548,20412.0,889.0,492.0,7460
599,029780,삼성카드,72859,34950,9.91,3528,5.7,0.58,,59753,30113.0,5056.0,3867.0,40493
4,000060,메리츠화재,170271,18550,5.28,3510,22.5,1.15,,16071,64287.0,5136.0,3846.0,21088
223,004000,롯데정밀화학,44768,60900,17.39,3503,7.7,1.32,8.0,46229,11595.0,1111.0,892.0,15712
1139,267260,현대일렉트릭,18031,63900,18.91,3379,,0.63,9.81,101885,14496.0,624.0,143.0,6521
606,031430,신세계인터내셔날,52823,196000,58.14,3371,5.0,2.83,27.65,69236,11025.0,254.0,241.0,13994
997,210980,SK디앤디,9470,-32200,9.58,3362,23.1,2.01,32.4,16007,3308.0,237.0,650.0,5202
280,005180,빙그레,32545,68900,20.57,3349,5.6,1.28,7.56,53683,8575.0,347.0,296.0,6788
626,034590,인천도시가스,507,30000,9.01,3331,8.2,0.77,2.23,39095,5376.0,149.0,137.0,1312
1148,268280,미원에스씨,937,-66000,19.87,3321,,1.85,10.97,35770,2083.0,218.0,172.0,3435
598,029530,신도리코,7435,-50300,15.61,3222,3.7,0.59,-1.44,84905,5584.0,326.0,317.0,5070
683,068270,셀트리온,588311,279500,87.18,3206,17.8,14.42,56.16,19381,9491.0,5220.0,4007.0,350482
518,016360,삼성증권,138703,31900,10.18,3135,6.6,0.65,,49380,9670.0,3603.0,2710.0,28487
465,011790,SKC,104101,45750,14.74,3104,7.7,1.18,9.91,38631,26535.0,1757.0,1363.0,17172
859,136490,선진,30670,13200,4.26,3102,21.0,0.97,7.38,13568,8167.0,547.0,556.0,3139
1005,214320,이노션,21652,58400,19.0,3074,9.3,1.74,4.31,33615,11387.0,967.0,757.0,11680
689,069620,대웅제약,53666,199000,65.03,3060,6.2,4.44,32.17,44831,9603.0,390.0,354.0,23057
659,051600,한전KPS,115282,36850,12.2,3021,16.0,1.83,7.2,20113,12368.0,1641.0,1360.0,16583
671,058430,포스코강판,17409,-21500,7.17,2999,8.6,0.6,5.02,36071,9121.0,244.0,175.0,1290
686,069260,휴켐스,68815,25500,8.54,2985,21.3,1.79,4.45,14210,7158.0,1526.0,1101.0,10424
457,011390,부산산업,50732,218500,73.77,2962,6.4,4.61,18.35,47358,1178.0,68.0,48.0,2307
742,089590,제주항공,59711,39800,13.45,2960,25.8,3.17,5.95,12574,9964.0,1013.0,778.0,10490
298,005500,삼진제약,60264,55400,19.16,2891,19.7,3.98,13.92,13919,2453.0,469.0,358.0,7701
549,019440,세아특수강,485,-17100,6.08,2814,7.8,0.47,4.32,36363,7299.0,351.0,237.0,1465
311,005850,에스엘,40370,20950,7.46,2810,10.2,0.74,5.08,28436,14855.0,548.0,962.0,7095
995,210540,디와이파워,70580,-18700,6.76,2767,26.7,1.61,5.95,11606,3245.0,336.0,305.0,2065
501,014820,동원시스템즈,29152,32700,11.85,2759,20.8,2.19,7.96,14935,12832.0,1026.0,847.0,8377
1065,241560,두산밥캣,128801,-34850,12.79,2725,8.1,1.02,8.83,34190,33892.0,3945.0,2738.0,34937
1161,272450,진에어,267213,21300,7.83,2722,47.8,2.76,2.91,7727,8884.0,969.0,741.0,6390
597,029460,케이씨,128052,21450,8.03,2671,27.7,1.37,3.06,15692,5730.0,555.0,850.0,2907
172,002990,금호산업,52408,11250,4.22,2665,27.1,1.04,15.17,10865,12979.0,311.0,953.0,4033
566,023590,다우기술,105280,-22300,8.42,2648,11.5,0.95,-5.28,23560,13911.0,3315.0,2431.0,10005
359,007340,디티알오토모티브,12839,33500,12.7,2637,7.8,0.68,3.56,49436,8779.0,595.0,535.0,3348
862,138040,메리츠금융지주,85626,-12150,4.68,2596,19.4,0.84,,14400,12356.0,10037.0,7557.0,17037
324,006090,사조오양,27000,11550,4.54,2546,17.3,0.73,6.11,15779,3102.0,242.0,240.0,1088
61,000990,DB하이텍,448429,17250,6.78,2546,27.6,1.68,4.53,10240,6797.0,1432.0,1102.0,7659
762,093050,LF,208532,25750,10.22,2519,6.9,0.69,4.09,37363,16021.0,1101.0,700.0,7529
1081,248170,샘표식품,12367,32900,13.07,2518,10.5,1.31,5.6,25185,2747.0,203.0,115.0,1503
968,192530,광주은행,11598,-11250,4.47,2515,8.8,0.36,,30828,8021.0,1813.0,1342.0,5773
816,111770,영원무역,89309,34800,14.05,2477,8.8,1.25,6.22,27747,20093.0,1811.0,947.0,15420
817,112610,씨에스윈드,45245,29300,11.9,2462,13.0,1.68,9.73,17454,3122.0,354.0,390.0,5065
553,020000,한섬,41122,38350,15.65,2451,6.0,1.02,12.36,37575,12287.0,550.0,539.0,9446
162,002790,아모레G,71597,-99700,41.0,2432,7.0,2.96,7.04,33714,60291.0,7315.0,4895.0,82211
25,000270,기아차,660875,-31250,12.95,2414,3.6,0.47,4.68,66264,535357.0,6622.0,9680.0,126676
527,016800,퍼시스,552,-30500,13.05,2338,5.9,0.91,6.72,33427,2895.0,230.0,221.0,3508
935,161890,한국콜마,75339,73200,32.68,2240,16.4,5.06,20.32,14458,8216.0,670.0,486.0,16358
913,152330,코리아오토글라스,29845,12350,5.52,2238,15.0,0.78,2.69,15910,4721.0,525.0,448.0,2470
572,024110,기업은행,382208,15050,6.91,2178,8.0,0.5,,29937,80760.0,20283.0,15085.0,84277
715,079430,현대리바트,57406,24700,11.42,2163,10.7,1.23,7.47,20143,8884.0,493.0,370.0,5072
632,035250,강원랜드,227849,-29650,13.73,2159,13.0,1.81,7.0,16365,16045.0,5309.0,4375.0,63433
396,009150,삼성전기,707222,152500,71.3,2139,3.8,2.8,14.3,54531,68385.0,3062.0,1773.0,113908
603,030610,교보증권,63473,9460,4.5,2103,9.4,0.42,,22662,2642.0,912.0,733.0,3406
412,009450,경동나비엔,45195,55000,26.28,2093,10.7,2.73,11.38,20135,6847.0,478.0,270.0,7007
932,161000,애경유화,79561,11050,5.38,2054,23.2,1.16,3.5,9495,9598.0,751.0,647.0,3540
139,002300,한국제지,3924,21300,10.44,2040,2.0,0.21,6.85,99906,6779.0,97.0,80.0,1066
514,015760,한국전력,850898,30750,15.2,2023,1.8,0.28,4.79,111660,598149.0,49532.0,14414.0,197404
1,000030,우리은행,590152,16350,8.18,1999,7.4,0.54,,30127,85507.0,21567.0,15301.0,110526
383,008490,서흥,11225,29600,14.84,1995,8.7,1.27,9.24,23330,3500.0,373.0,264.0,3424
462,011760,현대상사,234321,-32050,16.27,1970,6.3,1.17,16.27,27347,43060.0,340.0,251.0,4240
718,079660,사조해표,134267,-12350,6.28,1968,10.0,0.59,64.68,20786,6534.0,-16.0,141.0,884
1162,272550,삼양패키징,33633,-19150,9.74,1966,12.1,1.11,6.61,17296,3334.0,427.0,279.0,2721
182,003120,일성신약,121,-101000,51.64,1956,0.8,0.83,39.17,121363,670.0,26.0,26.0,2687
601,030200,KT,489061,28800,14.8,1946,4.1,0.64,2.39,44749,233873.0,13753.0,5615.0,75200
1157,271560,오리온,55862,-107000,55.96,1912,,3.23,27.0,33092,11172.0,1074.0,767.0,42301
